Full Bottle Name,Vintage,Country,Region,Grape(s),Drinking Window,Peak Year,Typical Pairings,Suggested Meal (Brazilian-inspired)
Cistus Touriga Nacional,2008,Portugal,Douro,Touriga Nacional,2010–2020,Past peak,"Roast lamb, mature cheese",Cabrito assado
Flor do Tua Superior,2017,Portugal,Douro,Traditional Douro blend,2019–2028,2024,"Stews, grilled meats",Ensopado de carne
Domaine Bousquet Gran Malbec Organic,2021,Argentina,Mendoza,Malbec,2023–2030,2026,"Steak, empanadas",Empanada de carne
Terra d’Alter Vinhas Velhas Reserva (Single Block),2023,Portugal,Alentejo,"Old vines (field blend, mostly Aragonez, Trincadeira, Alicante Bouschet)",2025–2035,2030,"Lamb, pork",Carne de porco à alentejana
Terra d’Alter Outeiro,2021,Portugal,Alentejo,"Alicante Bouschet, Syrah, Aragonez",2023–2032,2027,"Red meats, stews",Carne de panela
Marchesi di Barolo “Sbirolo” Langhe Nebbiolo,2020,Italy,Piedmont (Langhe),Nebbiolo,2022–2032,2026,"Game, truffle dishes",Tagliatelle com trufas
Palácio dos Távoras Vinhas Velhas,2016,Portugal,Douro,"Touriga Nacional, field blend",2019–2030,2024,"Roasted meats, hearty stews",Feijoada mineira
Travessia Regional Lisboa,2020,Portugal,Lisboa,"Portuguese red blend (Castelão, Aragonez)",2022–2028,2025,"Roasted pork, seafood stews",Caldeirada de peixe
Borgobravo Toscana IGT,2019,Italy,Tuscany,Sangiovese (with possible Merlot/Cab),2021–2028,2025,"Pasta, roasted meats",Polenta com ragu de carne
Bárbara Elisdora Syrah,2021,Brazil,Vale dos Vinhedos,Syrah,2023–2030,2026,"Lamb, roasted meats",Cordeiro no forno
Garboso Maipo Andes,2020,Chile,Maipo Valley,Cabernet Sauvignon-based blend,2022–2029,2025,"Red meats, grilled lamb",Picanha na brasa
Augustus Reserva,2017,Spain,Likely Castilla/Valencia,Tempranillo blend,2020–2028,2024,"Roast lamb, stews",Cordeiro assado
Cruzado Super Premium Carménère,2021,Chile,Valle de Curicó,Carménère,2023–2030,2026,"Spicy dishes, BBQ",Linguiça toscana assada
Casa Silva Quinta Generación,2012,Chile,Colchagua Valley,"Bordeaux blend (Cabernet, Carmenère, Petit Verdot, Syrah)",2015–2030,2022,"Lamb, steak, strong cheeses",Costela no bafo
Casa Silva Quinta Generación,2012,Chile,Colchagua Valley,Same as above (duplicate bottle),2015–2030,2022,Same,Same
Casa Geraldo Family Reserve,2017,Brazil,Minas Gerais,"Cabernet Sauvignon, Merlot",2019–2026,2023,"Pasta, red meats",Nhoque com molho de tomate
Tapada do Chaves Tinto Reserva,2015,Portugal,Alentejo,"Old vine blend (Trincadeira, Aragonez, Alicante Bouschet)",2018–2030,2025,"Game, pork",Carne de porco à alentejana
DV Catena Tinto Histórico,2018,Argentina,Mendoza,"Malbec, Bonarda, Petit Verdot",2020–2028,2024,"Asado, empanadas",Asado argentino
Ornellaia Le Volte Toscana,2019,Italy,Tuscany,"Sangiovese, Merlot, Cabernet Sauvignon",2021–2028,2025,"Pasta, roasted meats",Polenta com ragu
Salton Geracoes Merlot,1999,Brazil,Vale dos Vinhedos,Merlot,2001–2010,Past peak,"Hearty stews, cheese",Cozido brasileiro (drink with caution)
Miolo Merlot Reserva,2018,Brazil,Vale dos Vinhedos,Merlot,2020–2027,2024,"Pasta, grilled chicken",Frango assado com batatas
Cornellana Estate Red Blend,2020,Chile,Cachapoal Valley,"Cabernet Sauvignon, Syrah, Merlot",2022–2028,2025,"BBQ, roast meats",Churrasco misto
Cistus Grande Reserva,2009,Portugal,Douro,Touriga Nacional + field blend,2013–2025,2020,"Game, roasted meats",Cabrito assado
Cistus Grande Reserva,2017,Portugal,Douro,Same as above,2021–2035,2027,"Roast meats, cheese",Feijoada completa
Herdade dos Coteis Reserva,2016,Portugal,Alentejo,"Aragonez, Alicante Bouschet, Trincadeira",2018–2028,2024,"Pork, lamb",Carne de porco com batata
Primeira Estrada Syrah Gran Reserva,2021,Brazil,Vale dos Vinhedos,Syrah,2023–2032,2026,"Lamb, steak",Cordeiro grelhado
Vontade Cabernet Sauvignon,2019,Chile (Maipo Andes),Maipo Valley,Cabernet Sauvignon,2021–2029,2025,"Red meats, stews",Picadinho de carne
BelColle Barbera d’Asti Superiore,2019,Italy,Piedmont,Barbera,2021–2030,2025,"Pasta, charcuterie",Lasanha
Prospetti Gran Reserva,2018,Chile,Central Valley,Cabernet Sauvignon blend,2021–2030,2025,"Steak, BBQ",Picanha na brasa
Zenato Amarone della Valpolicella Classico,2016,Italy,Veneto,"Corvina, Rondinella, Molinara",2019–2035,2028,"Braised meats, aged cheese",Rabada com polenta
Château Le Vieux Fort Médoc,2019,France,Bordeaux – Médoc,"Cabernet Sauvignon, Merlot, Petit Verdot",2023–2035,2028,"Steak, lamb",Filé mignon ao molho madeira
Quinta dos Castelares Grande Reserva,2011,Portugal,Douro,"Touriga Nacional, Touriga Franca, Tinta Roriz",2014–2030,2020,"Game, roast beef",Javali assado
Château Pierre de Montignac (Cru Bourgeois),2012,France,Bordeaux – Médoc,"Cabernet Sauvignon, Merlot",2015–2032,2020,"Lamb, steak",Cordeiro assado no forno
Château Prieuré de Beyzac (Cru Bourgeois),2016,France,Bordeaux – Haut-Médoc,"Cabernet Sauvignon, Merlot, Petit Verdot",2019–2035,2025,"Steak, duck, cheese",Magret de pato com farofa
Comenda Grande Tinto,2018,Portugal,Alentejo,"Aragonez, Trincadeira, Alicante Bouschet",2020–2028,2024,"Roast pork, lamb",Carne de porco à alentejana
Faustino Rioja Edición Especial,2016,Spain,Rioja,Tempranillo,2019–2030,2025,"Lamb, Manchego",Cordeiro assado com batatas
Entrelineas Syrah,2018,Argentina,Mendoza,Syrah,2020–2028,2024,"BBQ, grilled meats",Churrasco misto
Le Roi Bœuf Côtes de Bazas,2018,France,Bordeaux (Entre-Deux-Mers area),Bordeaux blend,2020–2028,2024,"Steak, duck",Picanha mal passada
Quinta da Lixa “Cruzadinha” Corte,NV (likely 2020),Portugal,Vinho Verde (experimental red),"Vinhão, Alvarinho blend",2021–2026,2023,"Grilled fish, pork",Sardinha assada
Casa Geraldo Colheita de Inverno Merlot,2018,Brazil,Minas Gerais,Merlot (late harvest style),2020–2026,2023,"Soft cheeses, duck",Queijo canastra curado
Amaranta Montepulciano d’Abruzzo,2019,Italy,Abruzzo,Montepulciano,2021–2030,2025,"Pasta, roasted meats",Lasanha à bolonhesa
Montes Toscanini Gran Tannat,2016,Uruguay,Canelones,Tannat,2018–2030,2024,"Game meats, strong cheese",Picanha gorda na brasa
Casa Ferreirinha Vinha Grande Douro,2020,Portugal,Douro,"Touriga Nacional, Tinta Roriz, Touriga Franca",2023–2032,2026,"Red meats, stews",Feijoada
Reguengo Alentejo DOC,2002,Portugal,Alentejo,"Aragonez, Trincadeira",2004–2012,Past peak,"Rustic meats, stews",Cozido à portuguesa (drink with caution)
Fattoria dei Barbi Rosso di Montalcino,2012,Italy,Tuscany,Sangiovese,2014–2022,Past peak,"Pasta, pork",Pasta al pomodoro
Il Teo Primitivo di Manduria,2018,Italy,Puglia,Primitivo,2020–2030,2025,"Rich meats, BBQ",Costela no bafo
Palácio da Bacalhôa Tinto,2016,Portugal,Setúbal,"Cabernet Sauvignon, Merlot",2018–2028,2024,"Beef, lamb",Carne de panela
Raíces Monastrell,2018,Spain,Jumilla,Monastrell,2020–2028,2024,"Roasted meats, game",Cordeiro ensopado
Casa dos Zagalos Reserva,2015,Portugal,Alentejo,"Aragonez, Trincadeira, Alicante Bouschet",2017–2028,2023,"Pork, stews",Carne de porco no tacho
Quinta dos Castelares Grande Reserva,2011,Portugal,Douro,"Touriga Nacional, Touriga Franca",2014–2030,2020,"Game, beef",Javali assado
Aresca San Luigi Nizza,2017,Italy,Piedmont (Nizza DOCG),Barbera,2019–2029,2025,"Pasta, cheese",Espaguete ao sugo
Quinta das Tecedeiras Grande Reserva,2016,Portugal,Douro,Traditional field blend,2019–2030,2025,"Roast beef, lamb",Picanha
Quanta Terra Grande Reserva,2013,Portugal,Douro,"Touriga Nacional, Tinta Roriz, Touriga Franca",2016–2032,2023,"Game meats, roasted lamb",Cabrito assado
Fantinel Tenuta Sant’Helena Refosco,2018,Italy,Friuli,Refosco dal Peduncolo Rosso,2020–2028,2024,"Game, duck",Pato no tucupi
Aresca Il Soparano Nebbiolo d’Alba,2017,Italy,Piedmont,Nebbiolo,2020–2032,2026,"Game, risotto",Risoto de cogumelos
Pêra-Grave Reserva,2014,Portugal,Alentejo,"Aragonez, Alicante Bouschet, Trincadeira",2017–2028,2023,"Pork, lamb",Carne de porco assada
Marchesi di Barolo Barolo,2013,Italy,Piedmont,Nebbiolo,2017–2035,2025,"Game, truffles",Tagliatelle com trufas
Cadus Bonarda Partida Limitada,2011,Argentina,Mendoza,Bonarda,2014–2026,2020,"Pasta, meats",Empanadas mendocinas
Má Partilha Merlot,2010,Portugal,Setúbal,Merlot,2013–2024,2018,"Lamb, roasted pork",Leitão à Bairrada
Emiliana Gê (Biodinámico),2012,Chile,Colchagua Valley,"Carmenère, Syrah, Cabernet Sauvignon",2015–2032,2025,"Steak, game",Parrillada chilena
Quinta da Touriga-Chã,2001,Portugal,Douro,Touriga Nacional,2004–2020,Past peak,"Game, beef",Cabrito (historic value bottle)
Pêra-Manca Tinto,2008,Portugal,Alentejo,"Trincadeira, Aragonez",2012–2040,2028,"Game, roasted meats",Cordeiro assado
Almaviva,2014,Chile,Puente Alto,"Cabernet Sauvignon, Carmenère, Cabernet Franc, Merlot",2017–2035,2026,"Steak, lamb",Lombo assado
Má Partilha Merlot,2001,Portugal,Setúbal,Merlot,2004–2018,Past peak,Rustic meat,Cozido
Don Melchor Cabernet Sauvignon,2011,Chile,Puente Alto,Cabernet Sauvignon,2015–2035,2025,"Steak, lamb",Bife ancho argentino
DV Catena Malbec–Malbec,2018,Argentina,Mendoza,Malbec (two vineyard selections),2020–2030,2025,"Beef, empanadas",Bife de chorizo
Henriques & Henriques Madeira Sercial,2001,Portugal,Madeira,Sercial (fortified dry),2005–2050+,2040+,"Nuts, cheese",Queijo da Serra
Kopke Vintage Port (Quinta São Luiz),2008,Portugal,Douro (Porto),"Touriga Nacional, Touriga Franca, Tinta Roriz",2015–2050+,2035,"Blue cheese, chocolate",Pudim de pão com calda
